id,zone_connection_id,map_id,stop_id,name,x_coordinate,y_coordinate,left_bins_count,right_bins_count,left_bins_distance,right_bins_distance,distance_from_start,stop_type,stop_function,created_at
1,1,1,STOP_01_CENTER,Stop 1 - Center,100.0,99.0,0,0,0.0,0.0,1.0,center,pickup,2026-01-12T17:06:43.272624
2,12,12,STOP_01_CENTER,Stop 1 - Center,100.0,99.0,0,0,0.0,0.0,1.0,center,pickup,2026-01-16T10:20:59.448363
3,12,12,STOP_02_CENTER,Stop 2 - Center,100.0,99.5,0,0,0.0,0.0,0.5,center,pickup,2026-01-16T15:22:08.102202
5,2,2,1,tyre_buildins,100.0,98.0,0,0,0.0,0.0,2.0,center,pickup,2026-01-22T15:57:31.675683
6,27,15,s1,s1,100.0,100.0,0,0,0.0,0.0,0.0,center,pickup,2026-01-27T14:28:51.128738
7,29,16,s11,s11,100.0,99.0,0,0,0.0,0.0,1.0,center,pickup,2026-01-27T14:51:22.118968
8,30,16,s22,s22,100.0,100.0,0,0,0.0,0.0,0.0,center,pickup,2026-01-28T10:54:48.959807
9,32,17,s1,s1,100.0,100.0,0,0,0.0,0.0,0.0,center,pickup,2026-01-31T16:49:04.696074
10,34,17,s2,s2,100.0,100.0,0,0,0.0,0.0,0.0,center,pickup,2026-02-02T12:31:26.200617
11,36,18,s1,s1,100.0,100.0,0,0,0.0,0.0,0.0,center,pickup,2026-02-02T12:39:27.268879
12,37,18,s2,s2,100.0,100.5,0,0,0.0,0.0,0.5,center,pickup,2026-02-02T12:47:24.707030
13,13,1,y,y,100.0,99.0,0,0,0.0,0.0,1.0,center,pickup,2026-02-05T00:46:32.653304
14,13,1,x,x,100.0,99.5,0,0,0.0,0.0,0.5,center,pickup,2026-02-05T00:47:15.761555
15,39,19,x,x,100.0,99.5,0,0,0.0,0.0,0.5,center,pickup,2026-02-05T02:57:22.495618
16,40,19,y,y,100.5,100.0,0,0,0.0,0.0,0.5,center,pickup,2026-02-05T02:57:47.207157
17,39,19,z,z,100.0,99.0,0,0,0.0,0.0,1.0,center,pickup,2026-02-05T04:15:26.468242
18,43,20,y,y,100.0,99.0,0,0,0.0,0.0,1.0,center,check,2026-02-06T11:58:45.803225
19,44,20,z,z,99.0,100.0,0,0,0.0,0.0,1.0,center,drop,2026-02-06T11:59:22.077301
20,46,20,c,c,100.0,101.0,0,0,0.0,0.0,1.0,center,charging,2026-02-06T12:01:37.258635
21,42,20,x,x,101.0,100.0,0,0,0.0,0.0,1.0,center,pickup,2026-02-05T23:15:21.430096
22,45,20,e,e,100.0,101.0,0,0,0.0,0.0,1.0,center,end,2026-02-05T23:59:43.728428
23,48,21,p1,p1,101.0,100.0,0,0,0.0,0.0,1.0,center,pickup,2026-02-06T04:28:31.931074
24,48,21,p2,p2,103.0,100.0,0,0,0.0,0.0,3.0,center,pickup,2026-02-06T04:28:50.608111
25,48,21,p3,p3,105.0,100.0,0,0,0.0,0.0,5.0,center,pickup,2026-02-06T04:29:59.548723
26,49,21,c1,c1,100.0,101.0,0,0,0.0,0.0,1.0,center,check,2026-02-06T04:30:28.796443
27,50,21,d1,d1,102.0,100.0,0,0,0.0,0.0,2.0,center,drop,2026-02-06T04:31:49.541934
28,54,21,e1,e1,94.0,100.0,0,0,0.0,0.0,6.0,center,end,2026-02-06T04:33:51.550240
29,54,21,ch1,ch1,93.0,100.0,0,0,0.0,0.0,7.0,center,charging,2026-02-06T04:36:44.732990
30,63,24,x,x,100.0,99.0,0,0,0.0,0.0,1.0,center,pickup,2026-02-06T23:22:08.749773
31,64,24,y,y,101.0,100.0,0,0,0.0,0.0,1.0,center,check,2026-02-06T23:22:33.691417
32,65,24,z,z,100.0,101.0,0,0,0.0,0.0,1.0,center,drop,2026-02-06T23:23:07.868097
33,66,24,e,e,99.0,100.0,0,0,0.0,0.0,1.0,center,end,2026-02-06T23:23:41.967016
34,67,24,ch,ch,100.0,101.0,0,0,0.0,0.0,1.0,center,charging,2026-02-06T23:24:37.552297
