id,task_id,task_name,task_type,status,assigned_device_id,assigned_device_ids,assigned_user_id,description,estimated_duration,actual_duration,created_at,started_at,completed_at,map_id,zone_ids,stop_ids,task_details
1,TASK0001,task1,storing,cancelled,1,1,,,,,2026-02-05T02:45:57.669594,,,1,"13,14",x,"{""storing_map_id"": ""1"", ""storing_map_name"": ""m12"", ""from_zone"": ""1"", ""to_zone"": ""3"", ""zone_path"": [""1"", ""2"", ""3""], ""pickup_zone_ids"": [""13"", ""14""], ""pickup_zone_name"": ""1 \u2192 2 \u2192 3"", ""pickup_stops"": [""x""], ""pickup_stop_names"": [""x (x)""]}"
2,TASK0002,task2,picking,cancelled,1,1,,,,,2026-02-05T02:46:55.124014,,,1,,x,"{""pickup_map_id"": ""1"", ""pickup_map_name"": ""m12"", ""pickup_stops"": [""x""], ""pickup_stop_names"": [""x (x)""], ""pickup_racks"": [], ""pickup_rack_names"": [], ""drop_zone"": ""3"", ""drop_zone_name"": ""3""}"
3,TASK0003,r2t1,picking,cancelled,1,1,,,,,2026-02-05T02:59:09.644955,,,19,,x,"{""pickup_map_id"": ""19"", ""pickup_map_name"": ""komal"", ""pickup_stops"": [""x""], ""pickup_stop_names"": [""x (x)""], ""pickup_racks"": [], ""pickup_rack_names"": [], ""drop_zone"": ""3"", ""drop_zone_name"": ""3""}"
11,TASK0011,gh,picking,cancelled,1,1,,,,,2026-02-06T04:39:44.317096,,,21,,"p2,c1,d1","{""pickup_map_id"": ""21"", ""pickup_map_name"": ""auto"", ""pickup_stops"": [""p2""], ""pickup_stop_names"": [""p2 (p2)""], ""check_stops"": [""c1""], ""check_stop_names"": [""c1 (c1)""], ""drop_stops"": [""d1""], ""drop_stop_names"": [""d1 (d1)""], ""end_stop_id"": ""e1"", ""end_stop_name"": ""e1 (e1)"", ""charging_stops"": [""ch1""], ""charging_stop_names"": [""ch1 (ch1)""]}"
12,TASK0012,testing,picking,cancelled,1,1,,,,,2026-02-06T04:47:34.571585,,,21,,"p2,c1,d1","{""pickup_map_id"": ""21"", ""pickup_map_name"": ""auto"", ""pickup_stops"": [""p2""], ""pickup_stop_names"": [""p2 (p2)""], ""check_stops"": [""c1""], ""check_stop_names"": [""c1 (c1)""], ""drop_stops"": [""d1""], ""drop_stop_names"": [""d1 (d1)""], ""end_stop_id"": ""e1"", ""end_stop_name"": ""e1 (e1)"", ""charging_stops"": [""ch1""], ""charging_stop_names"": [""ch1 (ch1)""]}"
13,TASK0013,Auto Task - p2,picking,cancelled,1,1,,Automatically created from Tyre Ready acknowledgment for stop p2,,,2026-02-06T22:49:40.335442,,,21,,"p2,c1,d1,e1,ch1","{""pickup_map_id"": ""21"", ""pickup_map_name"": """", ""pickup_stops"": [""p2""], ""pickup_stop_names"": [""p2""], ""check_stops"": [""c1""], ""check_stop_names"": [""c1""], ""drop_stops"": [""d1""], ""drop_stop_names"": [""d1""], ""end_stop_id"": ""e1"", ""end_stop_name"": ""e1"", ""charging_stops"": [""ch1""], ""charging_stop_names"": [""ch1""], ""drop_zone"": ""5"", ""drop_zone_name"": ""5"", ""automatic"": true}"
18,TASK0018,Auto Task - p2,picking,cancelled,1,1,,Automatically created from Tyre Ready acknowledgment for stop p2,,,2026-02-06T23:15:34.251424,,,21,,"p2,c1,d1,e1,ch1","{""pickup_map_id"": ""21"", ""pickup_map_name"": """", ""pickup_stops"": [""p2""], ""pickup_stop_names"": [""p2""], ""check_stops"": [""c1""], ""check_stop_names"": [""c1""], ""drop_stops"": [""d1""], ""drop_stop_names"": [""d1""], ""end_stop_id"": ""e1"", ""end_stop_name"": ""e1"", ""charging_stops"": [""ch1""], ""charging_stop_names"": [""ch1""], ""drop_zone"": ""5"", ""drop_zone_name"": ""5"", ""automatic"": true}"
19,TASK0019,bn,picking,cancelled,1,1,,,,,2026-02-06T23:26:01.240154,,,24,,"x,y,z","{""pickup_map_id"": ""24"", ""pickup_map_name"": ""hkj"", ""pickup_stops"": [""x""], ""pickup_stop_names"": [""x (x)""], ""check_stops"": [""y""], ""check_stop_names"": [""y (y)""], ""drop_stops"": [""z""], ""drop_stop_names"": [""z (z)""], ""end_stop_id"": ""e"", ""end_stop_name"": ""e (e)"", ""charging_stops"": [""ch""], ""charging_stop_names"": [""ch (ch)""]}"
20,TASK0020,kom,picking,cancelled,1,1,,,,,2026-02-07T00:57:17.181835,,,24,,"x,y,z","{""pickup_map_id"": ""24"", ""pickup_map_name"": ""hkj"", ""pickup_stops"": [""x""], ""pickup_stop_names"": [""x (x)""], ""check_stops"": [""y""], ""check_stop_names"": [""y (y)""], ""drop_stops"": [""z""], ""drop_stop_names"": [""z (z)""], ""end_stop_id"": ""e"", ""end_stop_name"": ""e (e)"", ""charging_stops"": [""ch""], ""charging_stop_names"": [""ch (ch)""]}"
21,TASK0021,Auto Task - x,picking,cancelled,1,1,,Automatically created from Tyre Ready acknowledgment for stop x,,,2026-02-07T01:16:25.459822,,,24,,"x,y,z,e,ch","{""pickup_map_id"": ""24"", ""pickup_map_name"": """", ""pickup_stops"": [""x""], ""pickup_stop_names"": [""x""], ""check_stops"": [""y""], ""check_stop_names"": [""y""], ""drop_stops"": [""z""], ""drop_stop_names"": [""z""], ""end_stop_id"": ""e"", ""end_stop_name"": ""e"", ""charging_stops"": [""ch""], ""charging_stop_names"": [""ch""], ""drop_zone"": ""4"", ""drop_zone_name"": ""4"", ""automatic"": true}"
