id,map_id,from_zone,to_zone,magnitude,direction,created_at,edited_at
2,2,1,3,3.0,north,2026-01-13T21:07:32.749565,2026-01-21T11:20:37.339885
3,3,1,2,1.0,north,2026-01-13T21:08:00.532240,
4,4,1,2,50.0,north,2026-01-13T21:21:53.678908,
5,5,1,2,15.0,north,2026-01-13T21:22:55.911496,
6,6,1,2,1.0,north,2026-01-13T21:39:23.591516,
7,7,1,2,1.0,north,2026-01-13T21:39:58.592233,
8,8,1,2,1.0,north,2026-01-13T21:51:53.321257,
9,9,1,2,1.0,north,2026-01-13T21:52:32.611173,
10,10,1,2,1.0,north,2026-01-13T22:14:55.691541,
11,11,1,2,1.0,north,2026-01-13T23:02:16.867388,
12,12,1,2,1.0,north,2026-01-13T23:03:01.190618,
13,1,1,2,1.0,north,2026-01-14T00:47:04.980387,2026-01-14T00:47:34.997505
14,1,2,3,1.0,west,2026-01-14T00:47:55.178606,2026-01-14T00:48:40.027500
16,14,1,2,20.0,north,2026-01-16T16:18:41.705911,
17,13,1,2,1.0,north,2026-01-17T15:18:48.802145,
18,13,2,3,1.0,west,2026-01-17T15:19:20.137756,2026-01-17T15:20:02.127197
19,13,3,4,1.0,north,2026-01-17T15:19:35.690894,
20,12,2,3,1.0,west,2026-01-22T11:10:44.906612,
21,12,2,4,1.0,east,2026-01-22T11:11:06.165669,2026-01-22T11:11:20.464571
22,12,3,5,2.0,north,2026-01-22T11:11:47.196814,
23,12,5,6,2.0,east,2026-01-22T11:12:13.743712,
24,12,4,6,2.0,north,2026-01-22T11:13:06.115366,
25,15,1,2,3.0,north,2026-01-27T14:25:05.103383,
26,15,2,3,2.0,east,2026-01-27T14:26:10.636285,
27,15,3,4,3.0,south,2026-01-27T14:26:36.961218,
28,15,4,1,2.0,west,2026-01-27T14:26:52.675937,
29,16,1,2,2.0,north,2026-01-27T14:50:51.002327,
30,16,2,3,3.0,east,2026-01-27T15:01:56.005568,
31,17,2,3,0.5,north,2026-01-31T16:47:52.656086,2026-02-02T11:04:49.385856
32,17,3,4,0.5,north,2026-01-31T16:48:37.922128,2026-02-02T11:04:59.549515
33,17,4,5,0.5,north,2026-02-02T12:28:28.992226,
34,17,5,6,0.5,north,2026-02-02T12:28:57.544184,
35,18,1,2,0.5,north,2026-02-02T12:37:25.131217,
36,18,2,3,0.5,north,2026-02-02T12:38:53.526521,
37,18,3,2,0.5,south,2026-02-02T12:45:48.846897,
38,18,2,1,0.5,south,2026-02-02T12:46:12.831086,
39,19,1,2,1.0,north,2026-02-05T02:55:58.595793,
40,19,2,3,1.0,east,2026-02-05T02:56:36.367507,
41,20,1,2,1.0,north,2026-02-06T11:48:43.782519,
42,20,2,3,1.0,east,2026-02-06T11:49:05.449919,2026-02-06T11:55:25.673273
43,20,3,4,1.0,north,2026-02-06T11:55:37.126851,
44,20,4,5,1.0,west,2026-02-06T11:56:06.828759,
45,20,5,2,1.0,south,2026-02-06T11:56:21.659600,
46,20,2,1,1.0,south,2026-02-06T11:57:18.903460,2026-02-06T00:02:19.786238
47,21,1,2,1.0,south,2026-02-06T03:42:00.269984,
48,21,2,3,6.0,east,2026-02-06T03:43:05.153053,
49,21,3,4,1.0,south,2026-02-06T03:43:50.706272,
50,21,4,5,2.0,east,2026-02-06T03:44:06.704448,2026-02-06T03:55:16.760588
51,21,5,6,1.0,north,2026-02-06T03:45:05.561184,
52,21,6,7,1.0,west,2026-02-06T03:45:40.617080,2026-02-06T03:57:08.579125
53,21,7,8,1.0,north,2026-02-06T03:46:32.119770,
54,21,8,1,7.0,west,2026-02-06T03:47:42.782254,2026-02-06T03:57:45.770478
55,23,1,2,1.0,south,2026-02-06T04:11:32.281917,
56,23,2,3,6.0,east,2026-02-06T04:12:20.887136,
57,23,3,4,2.0,south,2026-02-06T04:12:40.570617,2026-02-06T04:14:27.708814
58,23,4,5,4.0,east,2026-02-06T04:13:26.096730,
59,23,5,6,2.0,north,2026-02-06T04:14:59.510217,
60,23,6,7,1.0,west,2026-02-06T04:15:17.580534,
61,23,7,8,1.0,north,2026-02-06T04:16:00.158671,
62,23,8,9,9.0,west,2026-02-06T04:16:58.123287,
63,24,1,2,1.0,north,2026-02-06T23:18:34.355326,
64,24,2,3,2.0,east,2026-02-06T23:19:01.740451,
65,24,3,4,1.0,south,2026-02-06T23:19:36.763081,
66,24,4,1,2.0,west,2026-02-06T23:21:12.938050,
67,24,1,6,1.0,south,2026-02-06T23:21:45.262401,
